company,job_title,location,posted_date,stipend
Contour Education,Graphic Designer (Educational Content),Work from home,,"₹ 3,00,000"
AppVersal,Community Manager,Noida,,"₹ 2,00,000 - 4,00,000"
Denave India Private Limited,Field Sales Executive,Work from home,,"₹ 2,00,000 - 2,50,000"
The OmniJobs,Client Acquisition Associate,Noida,,"₹ 2,00,000"
Insync Realty Group,Architect,Lucknow,,"₹ 2,00,000 - 5,00,000"
Decathlon Sports India,Corporate Sales Executive,Bangalore,,"₹ 2,50,000 - 3,00,000"
DesiCrew Solutions,Data Entry Associate,Kaup,,"₹ 2,00,000 - 2,50,000"
HITECH MACHINES,Junior Product Marketing Associate,Ahmedabad,,"₹ 2,40,000 - 3,60,000"
Mangostine Technologies Private Limited,Merchandise Designer,Noida,,"₹ 2,00,000 - 5,00,000"
RegisterKaro,Finance Associate,Gurgaon,,"₹ 2,40,000 - 2,64,000"
Meharwing Services Pvt Ltd,Human Resources (HR) Executive,Delhi,,"₹ 2,00,000 - 3,00,000"
"RPRP Limited (DBA Saas Corps) (Hong Kong, Hong Kong SAR)",Google Ads Expert (3-10 Years Experience Required),Work from home,,"$ 14,400 - 18,000"
"RPRP Limited (DBA Saas Corps) (Hong Kong, Hong Kong SAR)",SEO Expert (3-10 Years Experience),Work from home,,"$ 14,400 - 18,000"
Mantra Softech India Private Limited,Junior Telecaller,Ahmedabad,,"₹ 2,00,000 - 2,50,000"
Mangostine Technologies Private Limited,UI/UX Designer,Noida,,"₹ 3,00,000 - 5,00,000"
Infiny Technologies,Computer Executive,Work from home,,"₹ 4,00,000 - 7,00,000"
Asian Skills Training Private Limited,Telecaller,Delhi,,"₹ 2,50,000 - 2,52,000"
Green Scienx,International Sales,Pollachi,,"₹ 2,00,000 - 3,00,000"
Divine Placements,Content Writer,Work from home,,"₹ 2,00,000 - 3,00,000"
Codearies,Full Stack Developer,Work from home,,"₹ 5,00,000 - 7,00,000"
Shikhar Gupta,Field Sales Manager,Delhi,,"₹ 2,50,000 - 3,00,000"
Natturz Bio Kontrol Private Limited,Telecaller,Delhi,,"₹ 2,00,000 - 2,50,000"
Stimulus Research Services Private Limited,Business Development Manager,Varanasi,,"₹ 3,00,000 - 3,50,000"
Craftsmen,Business Development Manager,Ghaziabad,,"₹ 3,00,000 - 3,60,000"
22 Luna,Business Development Associate,Bangalore,,"₹ 7,00,000 - 8,00,000"
IPSAA,Corporate Sales Manager,Gurgaon,,"₹ 5,00,000 - 12,00,000"
PUNO,Junior Social Media Marketing Executive,Guwahati,,"₹ 2,00,000 - 2,10,000"
Diasimos Private Limited,Accountant,Ahmedabad,,"₹ 2,00,000 - 3,00,000"
UpTalkk,Creative Designer,Work from home,,"₹ 2,00,000 - 3,00,000"
UpTalkk,Business Development Manager,Work from home,,"₹ 3,00,000 - 4,80,000"
Infiny Technologies,Data Entry Executive,Work from home,,"₹ 4,00,000 - 7,00,000"
Reinforce Tech,Data Entry Specialist,Work from home,,"₹ 4,00,000 - 7,00,000"
Cosmos Staffing Solutions,Associate Telecaller,Gurgaon,,"₹ 3,08,000 - 3,48,000"
Codelux Solutions,Customer Care Executive,Work from home,,"₹ 4,00,000 - 7,00,000"
Entujn Food Tech Pvt Ltd,Software Engineer Trainee,Nagpur,,"₹ 2,00,000 - 3,00,000"
Everyday Digital Solutions,Corporate Sales Executive,Mohali,,"₹ 2,00,000 - 3,50,000"
Cosmos Staffing Solutions,Customer Service Associate,Noida,,"₹ 3,00,000 - 4,00,000"
Systemic Altruism,Technical Talent Acquistion,Work from home,,"₹ 5,00,000 - 8,00,000"
Cosmos Staffing Solutions,Business Research Associate,Udaipur,,"₹ 3,00,000 - 3,50,000"
"Swipe Automations (Karachi, Pakistan)",Youtube Scriptwriter,Work from home,,"$ 3,000 - 10,000"
Persist Ventures,Full Stack AI Engineer,Work from home,,"₹ 6,00,000 - 8,00,000"
DataVinci Private Limited,Analyst - UX And Marketing,Work from home,,"₹ 6,00,000 - 8,00,000"
Persist Ventures,AI Engineer,Work from home,,"₹ 6,00,000 - 8,00,000"
DataVinci Private Limited,Web Analytics Developer,Work from home,,"₹ 4,50,000 - 5,50,000"
SmartBridge Educational Services Private Limited,Backend Developer,Hyderabad,,"₹ 5,00,000 - 6,00,000"
Systemic Altruism,Growth Marketer,Work from home,,"₹ 6,00,000 - 8,00,000"
Persist Ventures,Technical Talent Acquisition,Work from home,,"₹ 5,00,000 - 8,00,000"
Impca Services Private Limited,Web Developer,Mumbai,,"₹ 2,40,000 - 3,50,000"
Aadi Foundation,Corporate Sales Executive,Work from home,,"₹ 2,00,000 - 5,00,000"
Aadi Foundation,Corporate Sales Associate,Work from home,,"₹ 2,00,000 - 5,00,000"
Peore,Accountant,Gurgaon,,"₹ 3,00,000 - 5,00,000"
NANCY KHURANA,Recruiter,Ahmedabad,,"₹ 2,40,000 - 3,35,000"
Testline,Artificial Intelligence (AI) Associate,Work from home,,"₹ 3,00,000 - 5,00,000"
Virtual Silver Technology Private Limited,ASP.NET Developer,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Internet of Things (IoT) Associate,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Hotel Management Associate,Work from home,,"₹ 6,00,000 - 8,00,000"
Virtual Silver Technology Private Limited,Associate Physicist,Work from home,,"₹ 6,00,000 - 8,00,000"
Virtual Silver Technology Private Limited,Agriculture & Food Engineer,Work from home,,"₹ 6,00,000 - 8,00,000"
Virtual Silver Technology Private Limited,Film Production Executive,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Junior Pharmaceutical Manager,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Associate Supply Chain Manager (SCM),Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Junior Media & Public Relations (PR) Executive,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Instrumentation and Control Engineer,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Junior Software Tester,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Human Resources (HR) Associate,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Business Strategy Associate,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Associate Programmer,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Animator,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,3D Printing Associate,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Customer Acquisition Manager,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Associate Mobile App Developer,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Associate Programmer,Work from home,,"₹ 9,00,000 - 12,00,000"
Maximalist Marketing Agency,Senior Telecaller,Work from home,,"₹ 2,00,000 - 2,00,001"
House Of Communities,Full Stack Developer,Jaipur,,"₹ 3,60,000 - 4,00,000"
Elegant Audio Video Solutions,Junior Social Media Marketing Executive,Delhi,,"₹ 2,00,000 - 2,50,000"
Rtee Talent Management,Corporate Sales Executive,Bharuch,,"₹ 2,50,000 - 4,50,000"
Copperpod IP,Telecaller,Ambala,,"₹ 2,50,000 - 3,60,000"
NUPI Infotech,Business Development Associate,Mumbai,,"₹ 3,00,000 - 4,00,000"
Online Zone,Human Resources (HR) Executive,Work from home,,"₹ 2,00,000 - 3,00,000"
Fixkart,Sales Advisor,Bangalore,,"₹ 2,50,000 - 3,00,000"
CloudMotiv IT Technologies Pvt. Ltd.,Junior Sales Manager,Pune,,"₹ 5,00,000 - 5,00,001"
Systemic Altruism,AI Automation Engineer,Work from home,,"₹ 6,00,000 - 8,00,000"
Prime Enterprises,Accountant,Vasai-Virar,,"₹ 2,00,000 - 2,10,000"
Dobby Ads,3D Animator,Work from home,,"₹ 3,00,000 - 3,60,000"
Marvel Infocomm Private Limited,Executive Admin,Ahmedabad,,"₹ 2,00,000 - 3,00,000"
Mancer Consulting Services Private Limited,Recruitment Consultant,Pune,,"₹ 3,00,000 - 4,00,000"
Emerge It Solution,Customer Service Executive,Bangalore,,"₹ 3,60,000 - 5,00,000"
TSL Marketing,Business Development Specialist,Pune,,"₹ 2,40,000 - 3,00,000"
FirstCry.com,Online Reputation Marketing,Pune,,"₹ 3,00,000 - 3,50,000"
WorldRef Technologies Private Limited,UI/UX Designer,Delhi,,"₹ 3,50,000 - 4,00,000"
Gautam Modi Group,Accountant,Mumbai,,"₹ 2,16,000 - 3,00,000"
Edu Plus Now,Counselor,Pune,,"₹ 2,00,000"
Shivam Limbani,"On Field Marketing, Sales",Thane,,"₹ 2,50,000"
Shankar Subramanian,Administration Executive,Pune,,"₹ 2,40,000"
Iagami Technologies Private Limited,Customer Service Executive,Tiruchirappalli,,"₹ 15,00,000 - 60,00,000"
Social Jogi,Business Development Executive,Navi Mumbai,,"₹ 2,00,000 - 2,50,000"
ASHA EREAL MEDIA,Digital Marketing Executive,Kolkata,,"₹ 2,00,000 - 2,20,000"
Outback Ventures,Corporate Sales Executive,Delhi,,"₹ 2,00,000"
Karan Dhaliwal,Cinematographer,Bathinda,,"₹ 4,00,000"
United HR Solutions Private Limited,Associate Recruiter,Ahmedabad,,"₹ 2,00,000"
Bindal Agencies Private Limited,CRM Executive,Chennai,,"₹ 2,00,000"
Bootstart Spaces And Hospitality Private Limited,Operations Manager,Pune,,"₹ 2,00,000 - 3,00,000"
Tripease,Travel Sales Consultant,Delhi,,"₹ 2,00,000 - 2,40,000"
Laangza Waters Pvt Ltd,Corporate Sales Manager,Delhi,,"₹ 17,00,000 - 18,00,000"
Atharwa Wealth,Administration Associate,Mumbai,,"₹ 2,00,000 - 2,20,000"
PKS Capital Advisory,Executive Assistant For CEO,Kolkata,,"₹ 2,00,000"
Event Chakra,Client Service Executive,Delhi,,"₹ 3,00,000 - 4,00,000"
Chirayu Power Private Limited,Senior Sales Executive,Nagpur,,"₹ 2,00,000 - 5,00,000"
Group Futurista,Event Management Executive,Work from home,,"₹ 2,00,000"
Cosmos Staffing Solutions,Content Writer,Jaipur,,"₹ 2,80,000 - 4,20,000"
Cosmos Staffing Solutions,Junior Search Engine Optimization (SEO) Associate,Jaipur,,"₹ 3,00,000 - 4,50,000"
Infiny Technologies,Office Assistant (Computer Operations),Work from home,,"₹ 4,00,000 - 7,00,000"
In-Solutions Global Limited,Customer Acquisition Associate,Noida,,"₹ 2,00,000 - 2,04,000"
The Agency Source,Data Input Associate,Delhi,,"₹ 2,00,000 - 2,00,001"
Wehire Talent Solutions,Nepali Language Interpreter,Work from home,,"₹ 3,60,000 - 5,50,000"
Mangostine Technologies Private Limited,Accountant,Noida,,"₹ 2,00,000 - 4,00,000"
Diasimos Private Limited,International Marketing Manager,Ahmedabad,,"₹ 2,16,000 - 3,50,000"
Infiny Technologies,Back-End Management Executive,Work from home,,"₹ 4,00,000 - 7,00,000"
Fixdax Technology Private Limited,Junior Lead Generation Specialist,Noida,,"₹ 2,00,000 - 3,00,000"
CRL Interior,Architect,Bangalore,,"₹ 7,00,000 - 8,00,000"
INOFINIX PRIVATE LIMITED,Software Engineer Junior,Bangalore,,"₹ 3,00,000 - 5,00,000"
Mithila M,Field Sales Manager,Pune,,"₹ 5,00,000 - 6,00,000"
English Connection,Video Editor,Chandigarh,,"₹ 2,00,000 - 3,00,000"
HR And PR Media Broadcasting Entertainment Private Limited,Content Writer,Hyderabad,,"₹ 3,00,000 - 4,00,000"
Systemic Altruism,Ai Startup Founder,Work from home,,"₹ 6,00,000 - 8,00,000"
Persist Ventures,Ai Startup Founder,Work from home,,"₹ 6,00,000 - 8,00,000"
Anand Aggarwal Properties,Field Sales Executive,Delhi,,"₹ 2,00,000 - 5,00,000"
The Trading Fox,Crypto Expert Trader,Jaipur,,"₹ 2,00,000 - 3,00,000"
Sasikala Gandhi,Show Room Sales - Jewellery,Coimbatore North,,"₹ 2,00,000 - 2,50,000"
Persist Ventures,AI Flutter App Founder,Work from home,,"₹ 6,00,000 - 8,00,000"
Big Assets Infra,Corporate Sales Executive,Gurgaon,,"₹ 2,50,000 - 6,00,000"
Sahayak Associates,Junior Social Media Marketing Executive,Chandigarh,,"₹ 2,00,000 - 3,00,000"
Infiny Technologies,Back Office C0-Ordinator,Work from home,,"₹ 4,00,000 - 7,00,000"
B.O.S Consultant,Customer Care Executive,Ghaziabad,,"₹ 2,00,000 - 3,00,000"
Persist Ventures,AI Full Stack Founder,Work from home,,"₹ 6,00,000 - 8,00,000"
Marshmallow Studios Design,Interior Designer,Delhi,,"₹ 2,00,000 - 3,00,000"
Learning Routes,Corporate Sales Associate,Mumbai,,"₹ 3,00,000 - 4,00,000"
Softcell Technologies Limited,Human Resource Trainee,Navi Mumbai,,"₹ 2,00,000"
MixPrime Tradecom Private Limited,Customer Service Executive,Thane,,"₹ 2,00,000 - 3,00,000"
PlanetSpark,English Teacher-Work From Home,Work from home,,"₹ 3,50,000 - 5,00,000"
Infiny Technologies,Back-end Operating Executive,Work from home,,"₹ 4,00,000 - 7,00,000"
Dwij AI Labs,Sales Development Representative,Ahmedabad,,"₹ 2,00,000 - 5,00,000"
Adventure Media,Junior Video Editor,Pune,,"₹ 2,00,000"
Oak Tree Software,Business Development Executive,Indore,,"₹ 2,00,000 - 3,00,000"
EvolveMinds,Customer Care Executive,Gurgaon,,"₹ 2,00,000 - 2,20,000"
Sk Raj,Telecaller,Lucknow,,"₹ 2,00,000 - 3,00,000"
Deepak Resourse,Accountant,Vasai,,"₹ 5,00,000 - 5,50,000"
Persist Ventures,Automation Bot Developer,Work from home,,"₹ 6,00,000 - 8,00,000"
Contour Education,Automations Executive,Work from home,,"₹ 5,00,000"
PlaigroundHQ,Digital Marketing Specialist,Ahmedabad,,"₹ 2,00,000 - 6,00,000"
Wellness Diagnostic Private Limited,Telesales Executive,Delhi,,"₹ 2,00,000 - 2,50,000"
Reena Sharm,MEP/Mechanical/HVAC Estimator Required,Work from home,,"₹ 4,50,000 - 6,00,000"
Infiny Technologies,Associate Back-End Operations Executive,Work from home,,"₹ 4,00,000 - 8,00,000"
PlaigroundHQ,Front End Developer,Ahmedabad,,"₹ 2,00,000 - 6,00,000"
Kridha Properties,Digital Marketing Associate,Work from home,,"₹ 2,00,000 - 4,00,000"
Flexiple,Operations Manager,Bangalore,,"₹ 6,00,000 - 7,00,000"
ABEC Limited (Asian Business Exhibitions And Conferences),Business Development Executive,Mumbai,,"₹ 3,00,000 - 6,00,000"
Sai Chaitanya Equipment,Field Sales Executive,Aurangabad,,"₹ 2,00,000 - 2,14,000"
My Content Cafe,Business Development Executive,Bhilai,,"₹ 2,00,000"
Charme,Video Editor,Lucknow,,"₹ 3,40,000 - 3,75,000"
Spacefusion,Architect,Mumbai,,"₹ 2,50,000 - 3,00,000"
Resin Bazaar,Showroom Sales Executive,Ludhiana,,"₹ 2,00,000 - 2,40,000"
Systemic Altruism,Team Leader,Work from home,,"₹ 6,00,000 - 8,00,000"
TopRankers,Center Manager,Mumbai,,"₹ 5,00,000 - 6,00,000"
Systemic Altruism,Automation Software Developer,Work from home,,"₹ 6,00,000 - 8,00,000"
"Sao Digital (Melbourne City, Australia)",Motion Graphic Designer (2D & 3D - Social Media),Work from home,,"₹ 3,00,000 - 3,50,000"
Systemic Altruism,Business Strategy Manager,Work from home,,"₹ 6,00,000 - 8,00,000"
V3M Logistics India Private Limited,Transport Sales Executive,Faridabad,,"₹ 5,00,000 - 6,00,000"
Ganesh Soni,Associate Telecaller,Jaipur,,"₹ 2,00,000"
Axe Consultancy And Security Services LLC,UI/UX Designer,Work from home,,"₹ 7,20,000 - 8,50,000"
Growone Enterprise Ltd,Human Resources (HR) Associate,Pune,,"₹ 2,00,000 - 3,00,000"
Infiny Technologies,Computer Operator,Work from home,,"₹ 4,00,000 - 8,00,000"
Share At Door Step,Customer Service Executive,Work from home,,"₹ 2,16,000 - 2,40,000"
Jakhu Fitness,Junior Accountant,Delhi,,"₹ 2,00,000 - 2,10,000"
Visual Vault Enterprises LLP,Graphic Designer,Pune,,"₹ 2,00,000 - 2,50,000"
Livmax Advisors,Pre-sales Executive,Pune,,"₹ 2,20,000 - 3,60,000"
Delaplex,Artificial Intelligence (AI) Associate,Nagpur,,"₹ 2,00,000 - 3,00,000"
Asha K,Senior Business Development Executive,Bangalore,,"₹ 2,00,000 - 3,00,000"
Travel Aid,Junior Travel & Tourism Associate,Kolkata,,"₹ 2,00,000"
CATKing Educare,Software Developer,Mumbai,,"₹ 6,00,000 - 8,00,000"
Mount Litera Zee School,Teacher,Khagaria,,"₹ 2,00,000 - 4,00,000"
Roshni  Gautam,Digital Marketing Executive,Noida,,"₹ 2,00,000 - 2,18,000"
Gautam Modi Group,Telecaller,Mumbai,,"₹ 2,00,000 - 2,16,000"
Cosmos Staffing Solutions,Business Development Executive,Mumbai,,"₹ 4,00,000 - 5,00,000"
Octagate Technologies Private Limited,Data Entry Executive,Work from home,,"₹ 2,50,000 - 3,50,000"
TelesourceNow,Telecaller,Work from home,,"₹ 2,00,000 - 3,00,000"
The Agency Source,Customer Success Manager,Delhi,,"₹ 2,75,000"
U&I,Volunteer Associate Manager (Corporate Partnerships),Work from home,,"₹ 2,97,000 - 4,00,000"
"NovaFlux Inc (Monterey, United States)",Human Resources (HR) Specialist,Work from home,,"₹ 5,00,000 - 7,00,000"
Water Town Swim School,Underwater Videographer,Delhi,,"₹ 5,00,000"
Shafsky Aviation Services Pvt. Ltd.,Guest Relationship Officer,Delhi,,"₹ 2,00,000 - 2,10,000"
Water Town Swim School,Big Data Manager,Work from home,,"₹ 9,00,000"
Water Town Swim School,Sales And Deck Ambassador (Admissions),Delhi,,"₹ 5,00,000"
Systemic Altruism,Software Development Engineer (Frontend),Work from home,,"₹ 6,00,000 - 8,00,000"
Systemic Altruism,3D Designer,Work from home,,"₹ 6,00,000 - 8,00,000"
Systemic Altruism,3D Web Designer,Work from home,,"₹ 6,00,000 - 8,00,000"
Systemic Altruism,AI Video Editor,Work from home,,"₹ 6,00,000 - 8,00,000"
SolutionsHUB360 Limited,Digital Marketing Specialist,Work from home,,"₹ 5,00,000 - 6,00,000"
Quest Labs,Business Development Executive,Work from home,,"₹ 3,00,000 - 3,60,000"
Systemic Altruism,AI Video Creator,Work from home,,"₹ 6,00,000 - 8,00,000"
Systemic Altruism,Electrical Engineer- Robotics,Work from home,,"₹ 9,00,000 - 12,00,000"
Systemic Altruism,Mechanical Engineer- Robotics,Work from home,,"₹ 9,00,000 - 12,00,000"
Systemic Altruism,Robotics Enthusiasts,Work from home,,"₹ 9,00,000 - 12,00,000"
Systemic Altruism,Robotics Engineer,Work from home,,"₹ 9,00,000 - 12,00,000"
Better,Senior Content Creator,Work from home,,"₹ 6,00,000 - 8,00,000"
CRM Academy Of Asia,Corporate Sales Associate,Faridabad,,"₹ 5,00,000 - 7,00,000"
RegisterKaro,Finance Operation Associate,Gurgaon,,"₹ 2,60,000 - 2,64,000"
Infiny Technologies,Back End Executive,Work from home,,"₹ 5,00,000 - 8,00,000"
Headway.ai,Business Development Executive,Work from home,,"₹ 3,00,000 - 6,00,000"
MozWebMedia Private Limited,Business Development Executive,Noida,,"₹ 2,00,000"
Indo Scots Global School - Navi Mumbai,Receptionist/Front Office Executive,Navi Mumbai,,"₹ 2,00,000 - 2,16,000"
Bukalo India Private Limited,Quality Executive-Food Analyst,Gurgaon,,"₹ 2,40,000 - 3,00,000"
Toppers Clan,Teacher,Work from home,,"₹ 2,00,000 - 2,10,000"
LetsDressUp,Social Media Manager,Delhi,,"₹ 2,50,000 - 4,00,000"
Cloudnine Hospital,HR Compliance,Bangalore,,"₹ 2,00,000 - 2,40,000"
Efeedor,Business Development Executive,Chennai,,"₹ 2,04,000"
Balaji Global Marketing Private Limited,Telecaller,Thane,,"₹ 2,00,000 - 2,50,000"
H M,Social Media Executive,Kolkata,,"₹ 2,00,000 - 2,20,000"
Obitel Prime Realtors LLP,Human Resource & Office Admin,Pune,,"₹ 2,00,000 - 2,16,000"
Edutitan Venture Private Limited,HR - Early Talent Acquisition,Work from home,,"₹ 2,00,000 - 2,20,000"
Walbayzon LLP,Content & E-commerce Management Specialist,Bhopal,,"₹ 2,00,000 - 2,50,000"
Eksure Insurance Broking Private Limited,Operations Executive,Mumbai,,"₹ 3,00,000"
Nusrat  Khan,Guest Relations Executive,Mumbai,,"₹ 30,00,000 - 40,00,000"
Systemic Altruism,Associate Full Stack Developer,Work from home,,"₹ 6,00,000 - 8,00,000"
Adsplay International Private Limited,Android App Developer,Gurgaon,,"₹ 3,00,000 - 5,00,000"
Ascent Risk Management Private Limited,Business Development Associate,Thane,,"₹ 2,00,000"
CIVILS WEB PRIVATE LIMITED,Corporate Sales Specialist,Noida,,"₹ 3,60,000 - 4,80,000"
Fleek Media,Senior Copywriter,Ahmedabad,,"₹ 5,00,000 - 8,40,000"
Picktime,Chat Support Executive,Madhapur,,"₹ 2,00,000 - 2,40,000"
Neeraj Gupta,Junior Finance Associate,Jaipur,,"₹ 2,00,000 - 2,20,000"
Avitzo Services LLP,Business Development Executive,Hyderabad,,"₹ 2,00,000 - 2,65,000"
Dotcore Solution,Game Developer,Jaipur,,"₹ 3,00,000 - 9,00,000"
Obitel Prime Realtors LLP,Human Resource & Office Admin,Pune,,"₹ 2,00,000 - 2,16,000"
TractorGyan (Rapsa Technolpogies Private Limited),CAD Designer,Indore,,"₹ 2,00,000 - 2,10,000"
NaviGrit Private Limited,Business Development Associate,Work from home,,"₹ 4,00,000 - 5,00,000"
Fx31 Labs,Senior Business Development Executive,Ahmedabad,,"₹ 5,00,000 - 7,00,000"
GenZ Pathfinders Solutions,Digital Marketing Executive,Work from home,,"₹ 2,00,000 - 2,10,000"
Gayathri V M,Senior Photographer,Bangalore,,"₹ 2,16,000 - 3,00,000"
English Connection,Teacher,Work from home,,"₹ 5,00,000 - 6,00,000"
Supreme Securities Limited,SEO Executive,Work from home,,"₹ 3,00,000 - 5,00,000"
Virtual Silver Technology Private Limited,Junior Operations Specialist,Work from home,,"₹ 6,00,000 - 8,00,000"
Virtual Silver Technology Private Limited,Associate UI/UX Designer,Work from home,,"₹ 6,00,000 - 8,00,000"
Virtual Silver Technology Private Limited,Associate Merchandise Designer,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Junior Sales Associate,Work from home,,"₹ 6,00,000 - 8,00,000"
Virtual Silver Technology Private Limited,Administration Manager,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Junior Lead Generation Associate,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Senior Wealth Management Associate,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Junior Recruiter,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Senior Chemist,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Senior Image Processing Manager,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Senior Instrumentation and Control Engineer,Work from home,,"₹ 9,00,000 - 12,00,000"
Let's Jump Trampoline & Adventure Private Limited,Customer Service Associate,Surat,,"₹ 2,00,000 - 2,10,000"
The Basics Digital Solution Private Limited,Business Development Executive,Indore,,"₹ 2,00,000 - 3,50,000"
NMG Technologies,Associate UI/UX Designer,Gurgaon,,"₹ 6,00,000 - 8,00,000"
Saloonify,Full Stack Engineer (React Native),Hyderabad,,"₹ 6,00,000 - 8,00,000"
NMG Technologies,Human Resources (HR) Specialist,Gurgaon,,"₹ 3,00,000 - 6,00,000"
Enhance Lifestyle Private Limited,Business Development Export Import Sales,Delhi,,"₹ 3,00,000 - 6,00,000"
Agumentik Consultancy Private Limited,Core PHP Developer,Work from home,,"₹ 2,00,000"
NMG Technologies,Human Resources (HR) Executive,Gurgaon,,"₹ 3,00,000 - 5,00,000"
SIA Group,Associate Content Writer,Hyderabad,,"₹ 2,40,000 - 3,00,000"
SpireEdu Services,Hindi Transcription Specialist,Work from home,,"₹ 2,00,000 - 2,00,001"
Vaitaanika,Jewelry Designer,Delhi,,"₹ 4,00,000 - 6,00,000"
NMG Technologies,Junior Operations Executive,Gurgaon,,"₹ 2,00,000 - 4,00,000"
Lissun,Business Development Manager,Delhi,,"₹ 3,00,000 - 7,00,000"
Systemic Altruism,AI Full Stack Founder,Work from home,,"₹ 6,00,000 - 8,00,000"
London Vintage,Social Media And Digital Marketing Manager,Pune,,"₹ 2,00,000 - 3,00,000"
BXI (Barter Exchange Of India),Junior Operations Specialist,Mumbai,,"₹ 2,00,000 - 3,00,000"
Masaya,Finance Manager,Mumbai,,"₹ 2,00,000 - 4,80,000"
SpireEdu Services,Hindi Transcription Specialist,Work from home,,"₹ 2,00,000 - 2,00,001"
Digital World,Administration Executive,Delhi,,"₹ 2,00,000 - 2,10,000"
Addads,Senior Video Editor,Hyderabad,,"₹ 5,00,000 - 7,00,000"
MyUpchar,Digital Marketing Executive,Delhi,,"₹ 2,00,000 - 2,10,000"
Galanto Innovations Private Limited,Electronics Engineer,Gandhinagar,,"₹ 2,50,000 - 3,60,000"
Indian Television,Associate Content Writer,Mumbai,,"₹ 2,00,000 - 5,00,000"
Athul Prasda,Photo & Video Assistant,Mumbai,,"₹ 2,00,000 - 3,00,000"
Durbin Technologies Private Limited,Artificial Intelligence (AI) Specialist,Kolkata,,"₹ 3,00,000 - 4,00,000"
Cosmos Staffing Solutions,Customer Acquisition Specialist,Gurgaon,,"₹ 2,00,000 - 2,50,000"
IDesign Market,Business Development Manager,Delhi,,"₹ 3,00,000 - 5,00,000"
Wehire Talent Solutions,Customer Service Representative,Mumbai,,"₹ 2,00,000 - 5,00,000"
Net - Dot Solutions Private Limited,Digital Marketing Executive,Delhi,,"₹ 2,00,000 - 2,50,000"
Next Element,Associate UI/UX Designer,Bangalore,,"₹ 2,00,000 - 4,00,000"
Solvitude,Transcription Rajasthani Expert (Rajasthani Audio Into Rajasthani Text),Work from home,,"₹ 2,00,000 - 3,00,000"
Innovantes IT Solutions LLP,Junior Software Tester,Mohali,,"₹ 2,00,000 - 3,00,000"
Innovantes IT Solutions LLP,Junior Software Tester,Chandigarh,,"₹ 2,00,000 - 3,00,000"
Social Stuff,Video Editor,Bhopal,,"₹ 2,40,000 - 3,00,000"
Virtual Silver Technology Private Limited,Corporate Sales Executive,Work from home,,"₹ 9,00,000 - 12,00,000"
Solvitude,Transcription Assamese Expert (Assamese Audio To Assamese Text),Work from home,,"₹ 2,00,000 - 3,00,000"
Solvitude,Transcription Kashmiri Experts( Kashmiri Audio Into Kashmiri Text ),Work from home,,"₹ 2,00,000 - 3,00,000"
Virtual Silver Technology Private Limited,Senior Teacher,Work from home,,"₹ 8,00,000 - 10,00,000"
NH Studioz,Network Engineer,Mumbai,,"₹ 2,00,000 - 2,00,001"
Virtual Silver Technology Private Limited,Client Acquisition Associate,Work from home,,"₹ 6,00,000 - 8,00,000"
Virtual Silver Technology Private Limited,Associate Graphic Designer,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Associate WordPress Developer,Work from home,,"₹ 8,00,000 - 10,00,000"
Virtual Silver Technology Private Limited,Associate Blogger,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Facebook Marketing Executive,Work from home,,"₹ 9,00,000 - 12,00,000"
Virtual Silver Technology Private Limited,Junior iOS App Developer,Work from home,,"₹ 9,00,000 - 12,00,000"
