company,job_title,location,posted_date,stipend
SDSR Consultancy Services Private Limited,Junior Operations Associate,Kolkata,1 day ago,"₹ 2,50,000 - 6,00,000"
Teach Maven,Sales Specialist,Bangalore,1 day ago,"₹ 4,00,000 - 7,00,000"
Bosscoder Academy,Operations Associate,Noida,1 day ago,"₹ 3,60,000 - 5,00,000"
Astrotalk,Video Editor,Noida,1 day ago,"₹ 3,50,000 - 5,50,000"
Supreme Securities Limited,Partnerships Associate,Delhi,1 day ago,"₹ 3,00,000 - 6,00,000"
Samosa Party Foods Private Limited,Command Centre Executive,Bangalore,1 day ago,"₹ 2,40,000 - 4,00,000"
Teach Maven,Content Creator,Bangalore,1 day ago,"₹ 3,00,000 - 4,80,000"
Globussoft,Front Desk Executive (Female Candidates ),Bangalore,1 day ago,"₹ 2,00,000 - 2,50,000"
Anas N,Video Editor,Delhi,1 day ago,"₹ 2,00,000 - 2,20,000"
Itee Bhardwaj & Co.,Junior Accountant,Delhi,,"₹ 2,00,000 - 2,16,000"
Chili Pili,Academic Lead (Physics & Mathematics),Bangalore,1 day ago,"₹ 6,00,000 - 7,00,000"
Blue Rose Publishers,Publishing Consultant,Noida,1 day ago,"₹ 3,50,000 - 4,50,000"
Indika AI Private Limited,Content Manager,Delhi,1 day ago,"₹ 5,00,000 - 15,00,000"
Yuvii Consultancy Private Limited,Computer Operator,Ahmedabad,,"₹ 2,00,000 - 2,50,000"
Grey Scientific Labs,Finance Specialist,Bangalore,1 day ago,"₹ 3,00,000 - 4,00,000"
Bosscoder Academy,Technical Content Writer,Noida,1 day ago,"₹ 3,60,000 - 5,40,000"
Elevate X Solutions,Lead Generation Executive,Delhi,1 day ago,"₹ 2,16,000 - 4,00,000"
Elevate X Solutions,Customer Support Specialist,Gurgaon,1 day ago,"₹ 2,00,000 - 3,00,000"
Wehire Talent Solutions,Customer Service Associate,Mumbai,2 days ago,"₹ 2,00,000 - 4,00,000"
Diversified Network And Infra Solutions Private Limited,L1 Network Engineer (SD-WAN),Chennai,1 day ago,"₹ 2,50,000 - 3,00,000"
Heterize Infotech Private Limited,Associate Telecaller (Female),Indore,2 days ago,"₹ 2,00,000 - 2,50,000"
Heterize Infotech Private Limited,Business Development Executive,Indore,2 days ago,"₹ 3,00,000 - 7,00,000"
Yuvii Consultancy Private Limited,Associate Recruiter,Ahmedabad,1 day ago,"₹ 2,00,000 - 3,00,000"
K12 Techno Service Private Limited (Orchids International School),Parent Relationship Officer,Indore,2 days ago,"₹ 2,00,000 - 2,16,000"
Heterize Infotech Private Limited,Corporate Sales Associate,Indore,2 days ago,"₹ 3,00,000 - 7,00,000"
Wehire Talent Solutions,Customer Acquisition Executive,Mumbai,2 days ago,"₹ 2,00,000 - 4,50,000"
Vave Entertainment (LoudSound Studios LLP),Music Producer & Mixing Engineer,Mumbai,2 days ago,"₹ 2,00,000"
MentorBoxx,Graphic Designer,Mumbai,2 days ago,"₹ 2,00,000 - 3,00,000"
Diversified Network And Infra Solutions Private Limited,L2 Network Engineer (SD-WAN),Chennai,1 day ago,"₹ 4,50,000 - 5,00,000"
Prime Dental Products Pvt Ltd,Business Development Executive,Ahmedabad,2 days ago,"₹ 2,40,000 - 6,00,000"
Biplob World Private Limited,Corporate Sales Executive,Mumbai,2 days ago,"₹ 4,00,000 - 6,00,000"
Adbytehub,Google Adowords Specialist,Gurgaon,1 day ago,"₹ 2,20,000 - 2,70,000"
Heterize Infotech Private Limited,Business Development Manager,Indore,2 days ago,"₹ 5,00,000 - 8,00,000"
The Black Box Company,Junior Operations Associate,Mumbai,2 days ago,"₹ 2,00,000 - 2,50,000"
K12 Techno Service Private Limited (Orchids International School),Parent Relationship Manager,Indore,2 days ago,"₹ 3,00,000 - 4,00,000"
Heterize Infotech Private Limited,Business Development Associate (Inside Sales/Field Sales),Indore,2 days ago,"₹ 5,00,000 - 7,00,000"
Cosmos Staffing Solutions,Field Sales Executive (Project Sales),Gurgaon,2 days ago,"₹ 2,50,000 - 3,00,000"
Brandzzy SoftTech Private Limited,IT Sales Executive,Bhubaneswar,2 days ago,"₹ 2,00,000 - 3,00,000"
Crystal Hues Limited,Business Development Executive,Ghaziabad,2 days ago,"₹ 2,50,000 - 2,75,000"
The Skillians,Business Development Specialist,Gurgaon,1 day ago,"₹ 6,00,000"
Exquisite Employee Manifest,Client Service Manager,Bangalore,2 days ago,"₹ 3,00,000 - 6,00,000"
"PT Rivolta Solusi Teknologi (Samarinda City, Indonesia)",Digital Marketing Specialist,Work from home,Few hours ago,"₹ 2,00,000 - 3,00,000"
Microtec Educational Services,Admission Counselor,Bangalore,1 day ago,"₹ 2,40,000 - 6,00,000"
Apps N Devices,Technical Executive,Dehradun,1 day ago,"₹ 2,00,000"
Granicera Pvt Ltd,Business Development Specialist,Bangalore,2 days ago,"₹ 2,00,000 - 4,00,000"
SDSR Consultancy Services Private Limited,Cyber Security Associate,Kolkata,1 day ago,"₹ 2,60,000 - 6,00,000"
CyberFrat,Motion Graphic Designer & Illustrator,Mumbai,2 days ago,"₹ 4,00,000 - 5,50,000"
Prime Dental Products Pvt Ltd,Business Development Executive,Thane,2 days ago,"₹ 2,40,000 - 2,40,001"
Aditya Vastu Studio,Junior Architect,Pune,2 days ago,"₹ 2,00,000 - 2,20,000"
MentorBoxx,Business Development Executive,Delhi,2 days ago,"₹ 5,00,000 - 7,00,000"
Ranuj Mahajan,Store Mananger,Gurgaon,,"₹ 2,20,000 - 2,40,000"
